id,name,budget_range,preferred_location,requirements,checkin_time_preference,checkout_time_preference,preferred_facilities,special_requests
1,Hải Hải Phạm,13.140.000 - 13.430.000 VND,Bà Rịa - Vũng Tàu,"Dịch vụ phòng, Nhà hàng, Khu vực bãi tắm riêng",11:00 - 17:00,12:00 - 12:00,Phòng gia đình,
2,Thành Trí Nguyễn,10.390.000 - 11.940.000 VND,Bà Rịa - Vũng Tàu,"Tiện nghi BBQ, Quầy bar",15:30 - 14:00,12:30 - 12:00,Trung tâm Spa & chăm sóc sức khoẻ,Không cần dọn phòng
3,Chi Phạm,7.010.000 - 7.730.000 VND,Bình Phước,"Trung tâm Spa & chăm sóc sức khoẻ, Thang máy",11:00 - 16:00,9:30 - 12:00,"Sân thượng / hiên, Xe đưa đón sân bay, Lễ tân 24 giờ",Khu vực cho phép hút thuốc
4,Minh Dương,2.600.000 - 3.570.000 VND,Bắc Ninh,"Quầy bar, Sân thượng / hiên, Tiện nghi cho khách khuyết tật",15:00 - 18:00,9:00 - 12:00,"Trung tâm Spa & chăm sóc sức khoẻ, Hồ bơi trong nhà",Nôi em bé
5,Khoa Mai Nguyễn,17.790.000 - 18.050.000 VND,Hà Tĩnh,"Dọn phòng hàng ngày, Quầy bar, Tiện nghi cho khách khuyết tật",12:30 - 15:00,10:30 - 12:00,Sân thượng / hiên,Khu vực cho phép hút thuốc
6,Linh Bùi,14.980.000 - 15.610.000 VND,Bình Thuận,"Chỗ đỗ xe, Xe đưa đón sân bay, Quầy bar, Tiện nghi BBQ",15:00 - 18:00,11:00 - 12:00,"Lễ tân 24 giờ, Thang máy",Hướng biển
7,Thành Vũ,4.370.000 - 5.830.000 VND,Tiền Giang,"Hồ bơi ngoài trời, Quầy bar, Sân vườn",14:30 - 14:00,11:00 - 12:00,"Khu vực bãi tắm riêng, Máy pha trà/cà phê",Giường phụ
8,Dũng Mai Mai,8.820.000 - 10.320.000 VND,Hải Dương,"Dịch vụ phòng, Nhà hàng, Nôi/cũi theo yêu cầu",14:00 - 13:00,9:00 - 12:00,"Phòng không hút thuốc, WiFi miễn phí",Không cần dọn phòng
9,Hoàng Văn Mai,7.860.000 - 9.390.000 VND,Hưng Yên,"Máy pha trà/cà phê, Bữa sáng, Phòng không hút thuốc",11:30 - 18:00,11:00 - 12:00,"WiFi miễn phí, Giặt ủi, Dọn phòng hàng ngày",
10,An Vũ,14.830.000 - 16.680.000 VND,Đắk Nông,"Nôi/cũi theo yêu cầu, Điều hòa nhiệt độ",13:00 - 14:00,11:00 - 12:00,Sân thượng / hiên,Phòng yên tĩnh
11,Hà Dương,2.340.000 - 3.270.000 VND,Tiền Giang,"Dịch vụ phòng, Lễ tân 24 giờ, Trung tâm thể dục",11:00 - 18:00,12:00 - 12:00,"Nhà hàng, Phòng không hút thuốc",Khu vực cho phép hút thuốc
12,Thành Mai,3.430.000 - 4.110.000 VND,Lai Châu,"Hồ bơi ngoài trời, Máy pha trà/cà phê, Trung tâm Spa & chăm sóc sức khoẻ, Khu vực bãi tắm riêng",12:30 - 16:00,11:30 - 12:00,"Điều hòa nhiệt độ, Dịch vụ phòng, Phòng gia đình, Thang máy",
13,Bảo Mai,11.390.000 - 11.980.000 VND,Long An,"Bữa sáng, Phòng gia đình",11:00 - 13:00,9:30 - 12:00,Nôi/cũi theo yêu cầu,
14,Xuân Bùi,13.750.000 - 15.000.000 VND,Cần Thơ,"Khu vực bãi tắm riêng, Trung tâm thể dục",15:30 - 14:00,12:30 - 12:00,"Điều hòa nhiệt độ, Phòng không hút thuốc",Không cần dọn phòng
15,Minh Đức Phạm,8.460.000 - 9.660.000 VND,Thừa Thiên Huế,Phòng không hút thuốc,11:00 - 16:00,11:00 - 12:00,"Hồ bơi ngoài trời, Máy pha trà/cà phê",Không cần dọn phòng
16,Hà Thế Hoàng,3.800.000 - 4.520.000 VND,Hưng Yên,"Phòng gia đình, Dọn phòng hàng ngày",15:00 - 13:00,9:00 - 12:00,"Giặt ủi, WiFi miễn phí",Nôi em bé
17,Khoa Thị Vũ,17.750.000 - 18.780.000 VND,TP. Hồ Chí Minh,Giặt ủi,14:00 - 16:00,11:30 - 12:00,"WiFi miễn phí, Tiện nghi BBQ, Khu vực bãi tắm riêng",Khu vực cho phép hút thuốc
18,Lan Dương,13.600.000 - 15.440.000 VND,Kiên Giang,"Hồ bơi ngoài trời, Hồ bơi trong nhà",12:00 - 17:00,9:30 - 12:00,Lễ tân 24 giờ,Khu vực cho phép hút thuốc
19,Yến Lê,17.510.000 - 18.870.000 VND,Bình Thuận,Nôi/cũi theo yêu cầu,11:00 - 13:00,9:00 - 12:00,"Điều hòa nhiệt độ, Trung tâm thể dục, Dịch vụ phòng, Sân thượng / hiên",
